Link,Total Audio Duration,Total Talk Duration,Talk Duration - Mono Right,Talk Duration - Mono Left,Talk Percent - Total,Talk Percent - Mono Right,Talk Percent - Mono Left,Total Overlaps - Total,Total Overlaps - Mono Right,Total Overlaps - Mono Left,Overlaps Duration - Total,Overlaps Duration - Mono Right,Overlaps Duration - Mono Left,Overlaps Percent - Total,Overlaps Percent - Mono Right,Overlaps Percent - Mono Left,Overall Emotion - Total,Overall Emotion - Mono Right,Overall Emotion - Mono Left
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e108231e92d84eec86875230aa3117bf.mp3,34.11975,27.266553480475388,4.176570458404072,23.089983022071316,0.7991428272620809,0.15317559153175578,0.8468244084682442,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,75.84,71.23938879456705,28.641765704584024,47.623089983022076,1.0056020001002914,0.37555654496883334,0.6244434550311667,4,4,0,5.025466893039045,5.025466893039045,0.0,0.08772969768820389,0.17545939537640778,0.0,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/8ab4694fb546ada1b2d9fc1b353517bh.mp3,117.76,112.71646859083194,56.196943972835314,65.60271646859083,1.034304181737654,0.4613883468079175,0.5386116531920825,7,6,1,9.083191850594211,7.843803056027164,1.2393887945670485,0.08081570996978837,0.13957703927492446,0.01889233954451324,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/8fd5c9fe312d58e001a49ea58d2917bf.mp3,472.78,389.01528013582356,109.100169779287,300.08488964346344,0.8654872444324009,0.26662794074934665,0.7333720592506533,15,13,2,20.16977928692686,17.94567062818337,2.2241086587434893,0.09243697478991529,0.1644880174291939,0.007411598302686933,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/435b9e29b2a6c2307e22a024d24917b7.mp3,59.34,56.349745331069634,15.466893039049243,41.90152801358236,0.9667748744966566,0.26960639242379403,0.7303936075762059,1,1,0,1.0186757215619693,1.0186757215619693,0.0,0.03293084522502742,0.06586169045005484,0.0,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/b9bd7d5ad4dbe51eb10bc435970817b3.mp3,35.04,31.90152801358234,7.079796264855687,24.821731748726652,0.9104317355474412,0.22192655667908462,0.7780734433209153,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/008715a984c72f9486e3b812e7bc17b2.mp3,55.98,56.1120543293718,31.171477079796247,36.84210526315789,1.2149621711853187,0.4583125312031951,0.5416874687968048,4,4,0,11.901528013582338,11.901528013582338,0.0,0.19090413943355122,0.38180827886710245,0.0,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/bb9f98bf9ae244e856f77dddcb3017b3.mp3,63.941875,55.80645161290323,17.572156196943993,41.052631578947356,0.9168449904838003,0.29973935708079963,0.7002606429192004,1,1,0,2.818336162988116,2.818336162988116,0.0,0.08019323671497576,0.16038647342995152,0.0,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/3868e0108bdd63119a2dd82c65e017b6.mp3,66.6,57.09677419354838,22.003395585738538,35.09337860780984,0.8573089218250508,0.3853702051739519,0.6146297948260482,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e57c1890047c47096d03edbdc87d17ba.mp3,36.49975,29.57555178268251,10.271646859083187,24.83870967741935,0.961934164932706,0.29255319148936165,0.7074468085106383,3,2,1,5.534804753820026,3.2597623089982974,2.275042444821729,0.26942148760330553,0.31735537190082613,0.09159261790840728,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/a1f2a2e0c941798d8506f9a2828e17bl.mp3,39.64,32.92020373514431,6.230899830220716,26.689303904923598,0.8304794080510675,0.1892728210417742,0.8107271789582259,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/5d79e2f5f25f3281e58b1031108d17b9.mp3,140.53975,128.93039049235992,71.74872665534802,72.1561969439728,1.023944639145301,0.49858423784804157,0.5014157621519585,10,5,5,14.974533106960898,7.555178268251261,7.419354838709637,0.10435399905347814,0.10530052058684321,0.10282352941176419,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e182aa86e23905b1f60fe458f11517b4.mp3,114.8,99.38879456706283,17.860780984719838,82.54668930390496,0.874629532130878,0.1778829895164015,0.8221170104835985,1,1,0,1.0186757215619693,1.0186757215619693,0.0,0.02851711026615973,0.05703422053231946,0.0,nutral,nutral,nutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/134c8648d49b26885f39f38728a117b6.mp3,69.62,56.46859083191852,14.60101867572157,45.68760611205435,0.8659670322863532,0.24218529991551677,0.7578147000844833,3,3,0,3.8200339558573972,3.8200339558573972,0.0,0.13081395348837244,0.2616279069767449,0.0,nutral,nutral,nutral
