Link,Total Call Duration,Total Effective Talk Duration,Total Effective Talk Percent,Talk Duration (Mono Right),Talk Duration (Mono Left),Talk Percent (Mono Right),Talk Percent (Mono Left),Overlaps Count (Total),Overlaps Count (Mono Right),Overlaps Count (Mono Left),Overlaps Duration (Total),Overlaps Duration (Mono Right),Overlaps Duration (Mono Left),Overlaps Percent (Total),Overlaps Percent (Mono Right),Overlaps Percent (Mono Left),Overall Emotion (Total),Overall Emotion (Mono Right),Overall Emotion (Mono Left)
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e108231e92d84eec86875230aa3117bf.mp3,0.57 Minutes,0.41 Minutes,72.60%,0.02 Minutes,0.39 Minutes,4.87 %,95.13 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,fear,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,1.26 Minutes,1.1 Minutes,87.15%,0.43 Minutes,0.83 Minutes,33.87 %,66.13 %,8 Times,6 Times,2 Times,0.16 Minutes,0.12 Minutes,0.04 Minutes,14.44 %,10.56 %,3.88 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/8ab4694fb546ada1b2d9fc1b353517bh.mp3,1.96 Minutes,1.83 Minutes,93.38%,0.94 Minutes,1.19 Minutes,44.06 %,55.94 %,13 Times,8 Times,5 Times,0.3 Minutes,0.2 Minutes,0.1 Minutes,16.41 %,10.68 %,5.73 %,surprise,fear,angry
